Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6n3HGiq4v35D6eFOSwqYuo,"Teenage Fever","More Life","Drake",2017-03-18,219692,83,true,brenisio,2020-11-13T12:30:02Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,4
spotify:track:5QZKcQDp0tCcvMdyqEciBV,"Tommy Lee (feat. Post Malone)","Tommy Lee (feat. Post Malone)","Tyla Yaweh;Post Malone",2020-06-12,224638,58,true,brenisio,2020-11-13T12:31:05Z,"rap melódico","Epic/London Ent.",0.457,0.621,10,-5.923,1,0.138,0.218,0,0.0944,0.634,85.359,3
spotify:track:7xQAfvXzm3AkraOtGPWIZg,"Wow.","Hollywood's Bleeding","Post Malone",2019-09-06,149546,79,true,brenisio,2020-11-13T12:31:08Z,"","Republic Records",0.829,0.538,11,-7.359,0,0.212,0.137,0.00000188,0.103,0.389,99.952,4
spotify:track:3KkXRkHbMCARz0aVfEt68P,"Sunflower - Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Post Malone;Swae Lee",2018-12-14,158040,84,false,brenisio,2020-11-13T12:31:12Z,"","Universal Records",0.76,0.478,2,-5.574,1,0.0467,0.552,0,0.0703,0.913,89.908,4
spotify:track:7dt6x5M1jzdTEt8oCbisTK,"Better Now","beerbongs & bentleys","Post Malone",2018-04-27,231266,81,true,brenisio,2020-11-13T12:31:16Z,"","Republic Records",0.674,0.578,10,-5.804,1,0.0408,0.331,0,0.135,0.34,145.07,4
spotify:track:6syOdAs4IK8kPWR7gDyjRw,"Congratulations","Stoney","Post Malone;Quavo",2016-12-09,220293,2,true,brenisio,2020-11-13T12:31:22Z,"","Universal Music Group",0.629,0.817,6,-4.261,1,0.0357,0.199,0,0.317,0.466,123.087,4
spotify:track:4VginDwYTP2eaHJzO0QMjG,"Circles","Circles","Post Malone",2019-08-30,214906,2,false,brenisio,2020-11-13T12:31:26Z,"","Republic Records",0.704,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003,4
spotify:track:32lItqlMi4LBhb4k0BaSaC,"Candy Paint","beerbongs & bentleys","Post Malone",2018-04-27,227533,74,true,brenisio,2020-11-13T12:31:34Z,"","Republic Records",0.66,0.667,4,-5.941,1,0.156,0.64,0.00000122,0.0753,0.381,180.044,4
spotify:track:2hCKzqwjRjhycKeZJvbloJ,"Go Flex","Stoney","Post Malone",2016-12-09,179613,0,true,brenisio,2020-11-13T12:31:38Z,"","Universal Music Group",0.663,0.489,5,-8.198,1,0.124,0.227,0,0.0769,0.117,81.959,4
spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,"White Iverson","Stoney (Deluxe)","Post Malone",2016-12-09,256532,82,true,brenisio,2020-11-13T12:31:43Z,"","Mercury Records/Republic Owned",0.675,0.561,7,-7.678,1,0.0352,0.233,0,0.0793,0.309,130.098,4
spotify:track:4H7WNRErSbONkM06blBoGc,"Stay","beerbongs & bentleys","Post Malone",2018-04-27,204426,70,true,brenisio,2020-11-13T12:31:50Z,"","Republic Records",0.506,0.48,5,-5.418,1,0.0266,0.449,0,0.147,0.351,86.042,4
spotify:track:7mF7fA6DsIMAJy9O0TDWV3,"Too Young","Stoney (Deluxe)","Post Malone",2016-12-09,237146,0,true,brenisio,2020-11-13T12:31:59Z,"","Universal Music Group",0.606,0.631,11,-6.475,0,0.0607,0.293,0.0000795,0.0834,0.265,123.018,4
spotify:track:4qWCFTuNnmGNdY4egtb4ZY,"Otherside","beerbongs & bentleys","Post Malone",2018-04-27,228226,63,true,brenisio,2020-11-13T12:32:15Z,"","Republic Records",0.652,0.641,9,-5.667,0,0.0353,0.324,0.00000273,0.208,0.111,104.929,4
spotify:track:1ZemPoaj7LBj1RAQrb89EC,"Blame It On Me","beerbongs & bentleys","Post Malone",2018-04-27,261799,61,false,brenisio,2020-11-13T12:32:30Z,"","Republic Records",0.652,0.592,11,-7.274,0,0.0418,0.142,0.00000561,0.164,0.271,121.875,4
spotify:track:7C39RtGhnEw7cyf0Pyw7PV,"Saint-Tropez","Hollywood's Bleeding","Post Malone",2019-09-06,150866,0,true,brenisio,2020-11-13T12:34:51Z,"","Republic Records",0.617,0.684,0,-3.618,1,0.0439,0.0545,0,0.104,0.295,132.113,4
spotify:track:3swc6WTsr7rl9DqQKQA55C,"Psycho (feat. Ty Dolla $ign)","beerbongs & bentleys","Post Malone;Ty Dolla $ign",2018-04-27,221440,78,true,brenisio,2020-11-13T12:35:03Z,"trap soul","Republic Records",0.75,0.56,8,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,4
spotify:track:4RzpCjByV1NWUGKVQGuej6,"Internet","Hollywood's Bleeding","Post Malone",2019-09-06,123386,0,true,brenisio,2020-11-13T12:35:24Z,"","Republic Records",0.469,0.489,0,-6.071,1,0.0314,0.841,0,0.103,0.201,74.013,4
spotify:track:58AGoOGbwsQMhBbH0eFLRR,"Over Now (with The Weeknd)","Over Now (with The Weeknd)","Calvin Harris;The Weeknd",2020-08-28,210795,62,true,brenisio,2020-11-13T12:35:38Z,"edm","Columbia",0.612,0.884,4,-4.113,0,0.0454,0.0759,0.00132,0.247,0.679,178.043,4
spotify:track:6TooMkzB9xE9FM9qxuEQeX,"Missed You - Bonus Track","After Hours (Deluxe)","The Weeknd",2020-04-03,144539,0,true,brenisio,2020-11-13T12:36:15Z,"","Republic Records",0.716,0.364,5,-9.648,0,0.0866,0.107,0.0000923,0.113,0.448,151.968,4
spotify:track:7MXVkk9YMctZqd1Srtv4MB,"Starboy","Starboy","The Weeknd;Daft Punk",2016-11-25,230453,91,true,brenisio,2020-11-13T12:36:22Z,"house francês,eletronic,electro","The Weeknd/Lyric",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
spotify:track:2p8IUWQDrpjuFltbdgLOag,"After Hours","After Hours","The Weeknd",2020-03-20,361026,82,false,brenisio,2020-11-13T12:36:30Z,"","Republic Records",0.658,0.572,5,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,4
spotify:track:7fBv7CLKzipRk6EC6TWHOB,"The Hills","Beauty Behind The Madness","The Weeknd",2015-08-28,242253,88,true,brenisio,2020-11-13T12:36:39Z,"","The Weeknd/Lyric",0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,4
spotify:track:4rv1ww0dUwFZcDVPqhcOcX,"Try Me","My Dear Melancholy,","The Weeknd",2018-03-30,221106,0,false,brenisio,2020-11-13T12:36:45Z,"","Universal Republic Records",0.466,0.672,8,-5.777,0,0.068,0.622,0.00108,0.147,0.108,91.673,4
spotify:track:4F7A0DXBrmUAkp32uenhZt,"Party Monster","Starboy","The Weeknd",2016-11-25,249213,79,true,brenisio,2020-11-13T12:36:59Z,"","The Weeknd/Lyric",0.573,0.63,1,-8.389,1,0.105,0.189,0.0000231,0.259,0.218,77.525,4
spotify:track:13wNEvWmBsWaWVtiLPRIW5,"Hurt You","My Dear Melancholy,","The Weeknd;Gesaffelstein",2018-03-30,230026,0,true,brenisio,2020-11-13T12:37:05Z,"","Universal Republic Records",0.484,0.716,5,-7.193,0,0.167,0.3,0.00214,0.112,0.365,184.131,4
spotify:track:7F1LWA9sIlTorHUo4amGqk,"Reminder - Remix","Reminder (Remix)","The Weeknd;A$AP Rocky;Young Thug",2017-08-01,221968,47,true,brenisio,2020-11-13T12:37:34Z,"rap,rap melódico,trap","The Weeknd/Lyric",0.751,0.654,0,-5.665,0,0.206,0.153,0,0.104,0.527,160.035,4
spotify:track:27BgDmciSjoxTG0almHTpZ,"Love To Lay","Starboy","The Weeknd",2016-11-25,223293,60,false,brenisio,2020-11-13T12:38:06Z,"","The Weeknd/Lyric",0.711,0.807,7,-5.052,0,0.0608,0.052,0,0.214,0.698,116.971,4
