Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2","The Wall","Pink Floyd",1979-11-30,238946,84,false,,1970-01-01T00:00:00Z,"rock progressivo,rock psicodélico,rock clássico,art rock,rock","Pink Floyd Records",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4
spotify:track:2RBcYkonAofm0rYycVrCGt,"Lady Writer","Communiqué","Dire Straits",1979-06-15,224666,74,false,,1970-01-01T00:00:00Z,"rock clássico","EMI",0.633,0.809,1,-8.595,0,0.0282,0.103,0.611,0.0726,0.964,147.916,4
spotify:track:7mkvi46DO25BAkcD9OWrpz,"Foi Um Rio Que Passou Em Minha Vida","Eu Sou O Samba","Paulinho Da Viola",2005,155466,45,false,,1970-01-01T00:00:00Z,"samba,mpb,bossa nova","EMI",0.673,0.681,9,-9.992,1,0.0501,0.418,0.0000159,0.238,0.821,111.541,4
spotify:track:6OcZP4rUfuxms2r8Mwx5BQ,"4Tal","333","Matuê;Teto",2024-09-09,204923,66,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","30PRAUM",0.729,0.793,3,-1.979,0,0.077,0.464,0,0.102,0.826,129.964,4
spotify:track:3CmHvyZQQAGkKkTjTBFWN6,"Have a Cigar","Wish You Were Here","Pink Floyd",1975-09-12,307400,75,false,,1970-01-01T00:00:00Z,"rock progressivo,rock psicodélico,rock clássico,art rock,rock","Pink Floyd Records",0.454,0.65,4,-10.191,0,0.0437,0.407,0.0488,0.589,0.72,120.155,4
spotify:track:6iByyLGlVa8OG1nRaviBua,"O Bem","Batuques e Romances","Arlindo Cruz",2011-05-26,247786,64,false,,1970-01-01T00:00:00Z,"samba,pagode,mpb","Sony Music Entertainment",0.594,0.474,7,-10.434,1,0.0371,0.702,0,0.33,0.531,156.106,4
spotify:track:4ssHL7bSnOAE7HjiuLx6Co,"Crack com Mussilon","333","Matuê",2024-09-09,154418,73,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,hip hop brasileiro,trap funk","30PRAUM",0.767,0.803,6,-2.833,0,0.116,0.173,0,0.14,0.462,128.979,4
spotify:track:2TI5GBkbrrFtZRM5v1heeb,"Trem Das Onze","Adoniran Barbosa","Adoniran Barbosa",1974-08-05,184000,66,false,,1970-01-01T00:00:00Z,"samba,mpb,bossa nova","Universal Music Ltda.",0.675,0.449,4,-14.164,0,0.0613,0.541,0.00337,0.069,0.803,91.773,4
spotify:track:3k4gjmYNJugQRlh2aounZ9,"Over Each Other","From Zero","Linkin Park",2024-11-15,170445,70,false,,1970-01-01T00:00:00Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.55,0.789,10,-4.634,1,0.0382,0.00241,0,0.428,0.317,147.947,4
spotify:track:5gZP6CS1CvDK9xGShd1fDv,"Se Eu Encontrar Com Ela","Sambista Perfeito","Arlindo Cruz;Zeca Pagodinho",2007-10-22,223093,34,false,,1970-01-01T00:00:00Z,"samba,pagode,mpb","Deckdisc",0.721,0.636,0,-9.16,0,0.0557,0.722,0,0.102,0.816,112.045,4
spotify:track:7fs6csqE3EltCrESv6cn0J,"Disritmia","Martinho da Vila","Martinho Da Vila",1974-03-30,144760,62,false,,1970-01-01T00:00:00Z,"samba,pagode,mpb","RCA Records Label",0.674,0.419,7,-12.413,0,0.268,0.747,0,0.0797,0.87,150.131,4
spotify:track:57E1ka54d8zrIy0VzE1EAV,"Canta Canta, Minha Gente","Martinho da Vila","Martinho Da Vila",1974-03-30,153440,60,false,,1970-01-01T00:00:00Z,"samba,pagode,mpb","RCA Records Label",0.735,0.783,2,-11.895,1,0.345,0.327,0,0.19,0.829,94.488,4
spotify:track:74Es0YAvJFbFCZ6ULMcydb,"Pontes Indestrutíveis","Ritmo, Ritual E Responsa","Charlie Brown Jr.",2007-03-10,210666,70,false,,1970-01-01T00:00:00Z,"rock brasileiro,mpb,pop nacional","Universal Music Ltda.",0.762,0.748,2,-6.934,0,0.148,0.255,0,0.148,0.756,79.619,4
spotify:track:4m8kG46clzxMxyrDuFo1Uq,"Horas Iguais","Horas Iguais","WIU;Oruam",2022-10-05,246942,69,false,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,funk","Sony Music Entertainment",0.796,0.618,6,-5.295,1,0.0387,0.229,0,0.0737,0.353,120.987,4
spotify:track:6C6315RjrDrqj1oqaJVGY8,"Senhor Do Tempo","Imunidade Musical","Charlie Brown Jr.",2005-01-01,202826,68,false,,1970-01-01T00:00:00Z,"rock brasileiro,mpb,pop nacional","EMI Brazil",0.771,0.631,6,-7.276,1,0.0382,0.762,0.00454,0.108,0.644,97.054,4
spotify:track:6A3Q8BVAAI2PW1s6MX4ZGF,"Boa Sorte / Good Luck (feat. Ben Harper)","Sim (Deluxe)","Vanessa Da Mata;Ben Harper",2007,235600,69,false,,1970-01-01T00:00:00Z,"mpb,nova mpb,surf rock","Sony BMG Music Entertainment",0.78,0.566,11,-9.289,1,0.05,0.323,0.000463,0.0814,0.281,111.019,4
spotify:track:62JvDbmEtwIU3m4LhiG6Ah,"Water Of Love","Dire Straits","Dire Straits",1978-10-07,325133,66,false,,1970-01-01T00:00:00Z,"rock clássico","EMI",0.817,0.552,7,-12.962,1,0.0336,0.481,0.0144,0.187,0.939,120.918,4
spotify:track:6U03Orwr5Dxt8jahLnQpYV,"Mas, Que Nada!","Samba Esquema Novo","Jorge Ben Jor",1963-01-01,179293,62,false,,1970-01-01T00:00:00Z,"mpb,bossa nova,samba,jazz brasileiro","Universal Music Ltda.",0.512,0.511,2,-8.645,0,0.03,0.662,0.000199,0.209,0.589,89.499,4
spotify:track:4iAs2QORspxnjOocbxJ25X,"Meu Nome é Favela","Batuques e Romances","Arlindo Cruz",2011-05-26,227680,56,false,,1970-01-01T00:00:00Z,"samba,pagode,mpb","Sony Music Entertainment",0.601,0.585,6,-8.108,0,0.0677,0.557,0,0.613,0.761,100.143,4
spotify:track:5SD6Hqq4oI64KSfAyEUrRV,"Olha oq ce fez comigo","Vagabundo de Luxo","WIU",2024-07-10,208372,63,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","30PRAUM",0.602,0.604,4,-3.297,0,0.0899,0.548,0,0.108,0.186,130.529,4
spotify:track:5iq4NDi4fznJJRLL1rXNE4,"Não Deixe O Samba Morrer","A Voz Do Samba","Alcione",1975,266866,61,false,,1970-01-01T00:00:00Z,"samba,mpb,pagode","Universal Music Ltda.",0.506,0.794,11,-5.884,0,0.0551,0.639,0.0000345,0.0763,0.731,154.582,4
